"repo_name","proposed_figma_name","status","confidence","notes"
"accessible-trails","accessible-trails","exact_name_match","high",""
"airplane-tilt","airplane-tilt","exact_name_match","high",""
"alert","bell-ringing","renamed_high_confidence","high",""
"ambulance","ambulance","exact_name_match","high",""
"arrow","arrow-right","renamed_high_confidence","high",""
"arrow-bent","","repo_only_unmapped","low",""
"arrow-counter-clockwise","arrow-counter-clockwise","exact_name_match","high",""
"arrow-down","arrow-down","exact_name_match","high",""
"arrow-elbow-right-down","arrow-elbow-right-down","exact_name_match","high",""
"arrow-left","arrow-left","exact_name_match","high",""
"arrow-right","arrow-right","exact_name_match","high",""
"arrow-up","arrow-up","exact_name_match","high",""
"arrows-in-simple","arrows-in-simple","exact_name_match","high",""
"audio-description","audio-description","exact_name_match","high",""
"baby","baby","exact_name_match","high",""
"baby-carriage","baby-carriage","exact_name_match","high",""
"backpack","backpack","exact_name_match","high",""
"barn","barn","exact_name_match","high",""
"barricade","barricade","exact_name_match","high",""
"baseball","baseball","exact_name_match","high",""
"basket","basket","exact_name_match","high",""
"basketball","basketball","exact_name_match","high",""
"bg-checklist","list-checks","renamed_high_confidence","high",""
"binoculars","binoculars","exact_name_match","high",""
"bird","bird","exact_name_match","high",""
"blog","rss-simple","renamed_high_confidence","high",""
"bluesky-logo","bluesky-logo","exact_name_match","high",""
"boat","boat","exact_name_match","high",""
"book-open-text","book-open-text","exact_name_match","high",""
"bookmark-simple","bookmark-simple","exact_name_match","high",""
"books","books","exact_name_match","high",""
"boot","boot","exact_name_match","high",""
"bridge","bridge","exact_name_match","high",""
"bug","bug","exact_name_match","high",""
"building","building","exact_name_match","high",""
"building-apartment","building-apartment","exact_name_match","high",""
"bulldozer","bulldozer","exact_name_match","high",""
"bus","bus","exact_name_match","high",""
"calendar","calendar","exact_name_match","high",""
"camera","camera","exact_name_match","high",""
"camera-plus","camera-plus","exact_name_match","high",""
"campfire","campfire","exact_name_match","high",""
"car","car","exact_name_match","high",""
"caret-circle-right","caret-circle-right","exact_name_match","high",""
"caret-down","caret-down","exact_name_match","high",""
"caret-left","caret-left","exact_name_match","high",""
"caret-right","caret-right","exact_name_match","high",""
"caret-up","caret-up","exact_name_match","high",""
"caret-up-down","caret-up-down","exact_name_match","high",""
"carrot","carrot","exact_name_match","high",""
"cash","money","renamed_high_confidence","high",""
"castle","castle-turret","renamed_high_confidence","high",""
"catalog","catalog","exact_name_match","high",""
"certificate","certificate","exact_name_match","high",""
"chart","chart-line-up","renamed_high_confidence","high",""
"chat","chat-circle","renamed_high_confidence","high",""
"check","check","exact_name_match","high_with_collision","Multiple Figma components normalize to this name: Check, Check"
"checkmark","check","renamed_needs_review","medium",""
"clipboard-text","clipboard-text","exact_name_match","high",""
"close","x","renamed_high_confidence","high",""
"closed-captioning","closed-captioning","exact_name_match","high",""
"contrast-eye","contrast-eye","exact_name_match","high",""
"copy","copy","exact_name_match","high",""
"cow","cow","exact_name_match","high",""
"credit","credit-card","renamed_high_confidence","high",""
"data","database","renamed_high_confidence","high",""
"date-picker","calendar-blank","renamed_high_confidence","high",""
"demographics","users-three","renamed_needs_review","medium",""
"detective","detective","exact_name_match","high",""
"dna","dna","exact_name_match","high",""
"doc-docx","file-doc","renamed_high_confidence","high",""
"doc-generic","file","renamed_high_confidence","high",""
"doc-pdf","file-pdf","renamed_high_confidence","high",""
"doc-xlsx","file-xls","renamed_high_confidence","high",""
"dog","dog","exact_name_match","high",""
"dots-three","dots-three","exact_name_match","high",""
"dots-three-vertical","dots-three-vertical","exact_name_match","high",""
"download","download-simple","renamed_high_confidence","high",""
"ear","ear","exact_name_match","high",""
"ear-slash","ear-slash","exact_name_match","high",""
"elevator","elevator","exact_name_match","high",""
"escalator-down","escalator-down","exact_name_match","high",""
"escalator-up","escalator-up","exact_name_match","high",""
"expand","arrows-out","renamed_high_confidence","high",""
"export","export","exact_name_match","high",""
"external-link","arrow-square-out","renamed_high_confidence","high",""
"eye","eye","exact_name_match","high",""
"eye-slash","eye-slash","exact_name_match","high",""
